Name,needs review,enhancement,Merge Conflict,invalid,wontfix,Needs Revisions,docker,bug,documentation,question,in progress,needs testing - pass,No testing needed,needs testing,duplicate,needs testing - fail,SECURITY,CONSENSUS,eosio.system,dev experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median_resolve_time,"52 days, 19:44:50","6 days, 22:16:03","46 days, 10:47:27","21 days, 13:55:50","8 days, 11:17:17","17 days, 0:48:25","5 days, 8:43:07","16 days, 5:09:08","8 days, 15:55:32","303 days, 2:55:36","6 days, 22:16:03","4 days, 21:07:30","3 days, 2:57:33","13 days, 12:18:36","3 days, 3:06:05","10 days, 2:32:51","158 days, 13:31:22","21 days, 23:18:22","6 days, 6:09:26","3 days, 9:29:36","54 days, 16:21:03","6 days, 10:29:43","40 days, 12:03:16","209 days, 19:37:38","42 days, 21:46:22","10 days, 2:32:51","16 days, 9:05:45","27 days, 7:47:11","3 days, 22:02:43","175 days, 8:15:51","4 days, 21:29:07","1 day, 0:13:31","12 days, 5:53:19","92 days, 2:06:55","111 days, 21:23:30","11 days, 16:07:41","12 days, 7:06:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_resolve_time,"108 days, 19:18:53.892655","57 days, 9:31:57.195349","71 days, 11:56:54.716667","96 days, 21:55:55.076923","29 days, 16:47:26.542553","20 days, 11:59:17.600000","32 days, 3:48:15.229508","80 days, 12:49:29.183673","23 days, 0:22:52.934426","152 days, 1:41:04.500000","46 days, 4:05:50.555556","29 days, 12:56:18.250000","11 days, 1:01:31","47 days, 12:27:38.857143","10 days, 21:37:33.405063","49 days, 11:09:33.150943","132 days, 14:34:38.090909","51 days, 3:19:05.132666","17 days, 12:36:39","8 days, 3:28:23.523810","85 days, 8:16:15.642857","21 days, 20:05:36.800000","79 days, 19:21:39","154 days, 10:06:49","92 days, 19:50:41.909091","20 days, 21:19:47.500000","46 days, 23:49:21","17 days, 2:50:11","13 days, 11:43:42.800000","130 days, 16:17:08.500000","4 days, 21:29:07",20:55.5,"23 days, 5:52:40.937500","91 days, 10:35:20.857143","126 days, 9:31:31.333333","30 days, 8:17:34.583333","12 days, 7:06:48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unresolved Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,chain-api-v2,dev experience,enhancement,CONSENSUS,testing,needs review,Support,user experience,documentation,WASM,bug,question,SNAPSHOTS,in progress,build,needs testing,help wanted,high priority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amount,6,13,121,23,5,35,31,4,27,2,17,2,2,10,9,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
percentage,0.019607843,0.04248366,0.395424837,0.075163399,0.016339869,0.114379085,0.10130719,0.013071895,0.088235294,0.006535948,0.055555556,0.006535948,0.006535948,0.032679739,0.029411765,0.003267974,0.003267974,0.003267974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min_unresolved_time,"302 days, 10:13:34.780848","131 days, 10:52:04.781024","2 days, 23:26:33.782578","246 days, 23:32:07.782902","297 days, 5:07:14.782977","9 days, 2:57:58.783426","5 days, 10:54:27.783828","18 days, 3:34:50.783889","2 days, 23:09:51.784233","606 days, 20:25:20.784268","9 days, 1:30:07.784489","555 days, 4:12:58.784523","478 days, 19:25:47.784554","250 days, 3:26:59.784686","3 days, 4:51:56.784807","237 days, 10:57:41.784825","206 days, 4:49:23.784842","9 days, 23:42:04.784859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_unresolved_time,"921 days, 5:35:18.780769","921 days, 5:35:18.780868","753 days, 1:54:26.781045","706 days, 2:55:30.782622","672 days, 10:09:54.782924","639 days, 5:36:47.782995","615 days, 4:26:36.783450","614 days, 22:13:58.783851","606 days, 21:18:41.783907","606 days, 20:50:43.784255","600 days, 20:15:29.784286","594 days, 7:54:06.784510","480 days, 20:54:41.784541","388 days, 0:11:34.784571","284 days, 17:21:42.784705","237 days, 10:57:41.784825","206 days, 4:49:23.784842","9 days, 23:42:04.784859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
median_unresolved_time,"550 days, 4:41:56.780808","606 days, 20:25:20.780947","500 days, 21:56:41.781814","481 days, 20:27:14.782762","355 days, 23:43:07.782951","337 days, 23:21:05.783212","249 days, 1:03:18.783640","613 days, 21:44:21.783864","10 days, 8:02:34.784070","606 days, 20:50:43.784255","185 days, 6:40:17.784388","594 days, 7:54:06.784510","480 days, 20:54:41.784541","297 days, 5:13:59.784623","237 days, 10:57:41.784756","237 days, 10:57:41.784825","206 days, 4:49:23.784842","9 days, 23:42:04.784859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_unresolved_time,"572 days, 5:44:55.447479","587 days, 16:26:06.396331","424 days, 15:44:01.922310","497 days, 18:04:22.347980","451 days, 18:40:15.182951","371 days, 18:33:20.611783","258 days, 18:55:41.235252","429 days, 18:30:20.283870","111 days, 11:08:28.709996","606 days, 20:38:02.284262","263 days, 1:25:43.725564","574 days, 18:03:32.784516","479 days, 20:10:14.784548","321 days, 6:35:35.484629","195 days, 17:35:55.006978","237 days, 10:57:41.784825","206 days, 4:49:23.784842","9 days, 23:42:04.784859",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release/Issue overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Names,dawn-v1.0.0,STAT-2017-11-25,STAT-2017-11-30,dawn-v2.0.0,STAT-2017-12-12,STAT-2017-12-13,STAT-2017-12-21,DAWN-2018-01-31-ALPHA,dawn-v3.0.0,dawn-v4.0.0,dawn-v4.1.0,dawn-v4.2.0,v1.0.0,v1.0.1,v1.0.2,v1.0.3,v1.0.4,v1.0.5,v1.0.6,v1.0.7,v1.0.8,v1.0.9,v1.0.10,v1.1.0,v1.1.1,v1.1.2,v1.1.3,v1.1.4,v1.1.5,v1.2.0,v1.1.6,v1.2.1,v1.2.2,v1.2.3,v1.2.4,v1.2.5,v1.2.6,v1.3.0,v1.3.1,v1.3.2,v1.4.0,v1.4.1,v1.4.2,v1.4.3,v1.4.4,v1.5.0-rc2,v1.5.0,v1.4.5,v1.5.1,v1.5.2,v1.6.0-rc1,v1.6.0-rc2,v1.5.3,v1.4.6,v1.5.4,v1.6.0,v1.5.5,v1.6.1,v1.5.6,v1.6.2,v1.7.0-rc1,v1.5.7,v1.6.3,v1.7.0-rc2,v1.7.0,v1.6.4,v1.7.1,v1.7.2,v1.6.5,v1.7.3,v1.8.0-rc1,v1.8.0-rc2,v1.6.6,v1.7.4,v1.8.0,v1.8.1,v1.7.5,v1.8.2,v1.7.6,v1.8.3,v1.7.7,v1.8.4,v2.0.0-rc1,v1.8.5,v2.0.0-rc2,v1.8.6,v2.0.0-rc3,v1.8.7,v1.8.8,v1.8.9,v2.0.0,v1.8.10,v2.0.1,v1.8.11,v2.0.2,v1.8.12,v2.0.3
Release Dates,2017-09-14T18:58:15Z,2017-11-26T00:29:26Z,2017-12-01T00:07:11Z,2017-12-04T18:31:17Z,2017-12-12T17:56:05Z,2017-12-14T01:51:00Z,2017-12-21T22:28:41Z,2018-01-31T15:46:26Z,2018-04-05T21:51:10Z,2018-05-11T18:50:43Z,2018-05-18T21:46:00Z,2018-05-25T23:36:41Z,2018-06-01T23:00:26Z,2018-06-02T19:59:42Z,2018-06-08T23:15:08Z,2018-06-11T23:08:39Z,2018-06-15T21:46:39Z,2018-06-16T13:53:23Z,2018-06-22T18:43:03Z,2018-06-26T21:12:07Z,2018-07-03T21:29:32Z,2018-07-11T03:33:57Z,2018-07-13T02:20:38Z,2018-07-17T23:13:54Z,2018-07-24T23:14:14Z,2018-08-02T01:32:24Z,2018-08-03T21:38:41Z,2018-08-08T00:16:11Z,2018-08-14T23:26:19Z,2018-08-15T02:23:54Z,2018-08-15T22:25:10Z,2018-08-15T22:27:55Z,2018-08-22T22:25:06Z,2018-08-28T22:16:52Z,2018-09-05T22:25:31Z,2018-09-11T23:19:37Z,2018-09-18T23:48:57Z,2018-09-18T23:58:26Z,2018-10-02T23:07:38Z,2018-10-09T22:55:48Z,2018-10-16T22:46:05Z,2018-10-17T22:33:25Z,2018-10-30T23:50:38Z,2018-11-06T23:45:01Z,2018-11-20T21:27:24Z,2018-11-30T16:33:26Z,2018-12-04T23:04:38Z,2018-12-13T21:27:45Z,2018-12-13T21:29:14Z,2018-12-18T22:52:57Z,2018-12-18T23:50:40Z,2019-01-02T21:25:00Z,2019-01-02T22:41:58Z,2019-01-15T23:29:53Z,2019-01-15T23:30:36Z,2019-01-15T23:35:32Z,2019-02-07T00:22:23Z,2019-02-07T00:34:41Z,2019-02-20T00:44:16Z,2019-02-20T00:52:15Z,2019-02-21T22:17:13Z,2019-03-06T22:22:47Z,2019-03-06T22:23:01Z,2019-03-06T22:23:12Z,2019-03-13T23:55:09Z,2019-04-03T01:57:23Z,2019-04-03T15:22:52Z,2019-04-18T15:28:08Z,2019-04-25T17:34:13Z,2019-04-25T18:43:18Z,2019-04-29T15:03:15Z,2019-05-15T18:34:11Z,2019-06-04T18:00:57Z,2019-06-04T20:06:01Z,2019-06-28T20:42:19Z,2019-07-09T17:33:06Z,2019-08-28T16:31:07Z,2019-08-28T18:52:54Z,2019-09-12T13:21:44Z,2019-09-12T14:14:58Z,2019-09-24T15:16:50Z,2019-09-24T17:55:42Z,2019-10-07T17:44:47Z,2019-10-17T17:41:41Z,2019-11-07T22:38:17Z,2019-11-08T17:19:04Z,2019-12-17T23:57:22Z,2019-12-18T00:03:34Z,2020-01-02T23:23:59Z,2020-01-10T18:54:15Z,2020-01-10T21:55:37Z,2020-01-27T21:03:33Z,2020-01-27T21:44:32Z,2020-02-06T21:21:54Z,2020-02-06T22:34:27Z,2020-02-13T15:23:59Z,2020-02-13T16:13:34Z
Issues in Release Range,59,26,46,27,40,36,20,47,140,128,84,118,155,122,115,91,91,88,58,92,67,85,79,95,97,93,70,90,111,108,102,102,79,57,53,71,84,84,35,47,62,64,42,48,39,11,25,22,22,25,25,19,19,40,40,40,19,19,48,48,42,38,38,38,39,35,32,36,47,44,13,35,25,26,32,35,30,30,40,40,26,25,19,28,28,24,34,34,14,27,26,31,31,46,45,27,27
